Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-5.99,-44.2,-0.399
-6.13,-44.8,-0.409
-6.27,-45.5,-0.418
-6.41,-45.5,-0.427
-6.55,-46.1,-0.437
-6.69,-46.7,-0.446
-6.83,-47.3,-0.455
-6.97,-48,-0.465
-7.11,-48,-0.474
-7.25,-48.6,-0.484
-7.39,-49.2,-0.493
-7.53,-49.8,-0.502
-7.68,-50.5,-0.512
-7.82,-51.1,-0.521
-7.96,-51.7,-0.531
-8.1,-52.4,-0.54
-8.24,-53,-0.549
-8.38,-53.6,-0.559
-8.52,-54.2,-0.568
-8.66,-54.9,-0.578
-8.8,-55.5,-0.587
-8.94,-56.1,-0.596
-9.08,-56.7,-0.606
-9.23,-57.4,-0.615
-9.37,-58,-0.624
-9.51,-58.6,-0.634
-9.65,-59.3,-0.643
-9.93,-60.5,-0.662
-9.93,-61.1,-0.662
-10.07,-61.8,-0.671
-10.35,-63,-0.69
-10.35,-63.6,-0.69
-10.49,-64.3,-0.7
-10.64,-64.9,-0.709
-10.78,-64.9,-0.718
-10.92,-65.5,-0.728
-11.06,-65.5,-0.737
-11.2,-66.1,-0.747
-11.34,-66.8,-0.756
-11.48,-66.8,-0.765
-11.62,-67.4,-0.775
-11.76,-68,-0.784
-11.9,-68,-0.794
-12.04,-68.7,-0.803
-12.19,-69.3,-0.812
-12.33,-69.3,-0.822
-12.47,-69.9,-0.831
-12.47,-66.8,-0.831
-12.33,-65.5,-0.822
-12.33,-63,-0.822
-12.19,-62.4,-0.812
-12.19,-61.1,-0.812
-12.04,-60.5,-0.803
-12.04,-59.3,-0.803
-11.9,-58.6,-0.794
-11.62,-57.4,-0.775
-11.62,-56.7,-0.775
-11.34,-55.5,-0.756
-11.34,-54.9,-0.756
-11.2,-54.2,-0.747
-10.92,-53,-0.728
-10.92,-52.4,-0.728
-10.78,-51.7,-0.718
-10.64,-51.1,-0.709
-10.35,-49.8,-0.69
-10.35,-49.2,-0.69
-10.21,-48.6,-0.681
-9.93,-47.3,-0.662
-9.93,-46.7,-0.662
-9.79,-46.1,-0.653
-9.51,-44.8,-0.634
-9.51,-44.2,-0.634
-9.37,-43.6,-0.624
-9.23,-42.9,-0.615
-8.94,-41.7,-0.596
-8.94,-41.1,-0.596
-8.8,-40.4,-0.587
-8.66,-39.8,-0.578
-8.52,-39.2,-0.568
-8.24,-37.9,-0.549
-8.24,-37.3,-0.549
-8.1,-36.7,-0.54
-7.96,-36,-0.531
-7.82,-35.4,-0.521
-7.53,-34.2,-0.502
-7.53,-33.5,-0.502
-7.39,-32.9,-0.493
-7.25,-32.3,-0.484
-7.11,-31.7,-0.474
-6.97,-31,-0.465
-6.83,-30.4,-0.455
-6.55,-29.2,-0.437
-6.69,-29.2,-0.446
-6.55,-29.2,-0.437
-6.27,-27.9,-0.418
-6.27,-27.3,-0.418
-6.13,-26.7,-0.409
-5.99,-26,-0.399
-5.85,-25.4,-0.39
-5.56,-24.1,-0.371
-5.56,-23.5,-0.371
-5.42,-22.9,-0.361
-5.28,-22.3,-0.352
-5,-21,-0.333
-5,-20.4,-0.333
-4.72,-19.1,-0.315
-4.72,-18.5,-0.315
-4.58,-17.9,-0.305
-4.3,-16.6,-0.286
-4.3,-16,-0.286
-4.02,-14.7,-0.268
-4.02,-14.1,-0.268
-3.73,-12.9,-0.249
-3.73,-12.2,-0.249
-3.45,-11,-0.23
-3.45,-10.3,-0.23
-3.17,-9.1,-0.211
-3.17,-8.5,-0.211
-2.89,-7.2,-0.192
-2.89,-6.6,-0.192
-2.61,-5.3,-0.174
-2.61,-4.1,-0.174
-2.47,-3.4,-0.164
-2.19,-2.2,-0.146
-2.19,-0.9,-0.146
-2.04,-0.3,-0.136
NaN,NaN,NaN
-1.76,0.9,-0.117
-1.76,1.6,-0.117
-1.48,2.8,-0.099
-1.48,4.1,-0.099
-1.34,4.7,-0.089
-1.06,6,-0.07
-1.06,6.6,-0.07
-0.78,7.8,-0.052
-0.78,9.1,-0.052
-0.64,9.7,-0.042
-0.35,11,-0.024
-0.35,11.6,-0.024
-0.07,12.8,-0.005
-0.07,13.5,-0.005
0.21,14.7,0.014
0.21,15.4,0.014
0.35,16,0.023
0.49,16.6,0.033
0.77,17.9,0.052
0.77,18.5,0.052
0.92,19.1,0.061
1.06,19.7,0.07
1.2,20.4,0.08
1.34,21,0.089
1.48,21.6,0.099
1.62,22.3,0.108
1.76,22.9,0.117
2.04,24.1,0.136
2.04,24.8,0.136
2.18,25.4,0.146
2.32,26,0.155
2.47,26.6,0.164
2.61,27.3,0.174
2.75,27.9,0.183
3.03,29.2,0.202
3.03,29.8,0.202
3.17,30.4,0.211
3.31,31,0.221
3.45,31.7,0.23
3.59,32.3,0.239
3.73,32.9,0.249
3.87,33.5,0.258
4.02,34.2,0.268
4.16,34.8,0.277
4.3,35.4,0.286
4.44,36,0.296
4.58,36.7,0.305
4.72,37.3,0.315
4.86,37.9,0.324
5,38.5,0.333
5.14,39.2,0.343
5.28,39.8,0.352
5.42,40.4,0.361
5.56,41.1,0.371
5.7,41.7,0.38
5.84,42.3,0.39
5.99,42.9,0.399
6.13,43.6,0.409
6.27,44.2,0.418
6.55,45.4,0.437
6.55,46.1,0.437
6.69,46.7,0.446
6.83,47.3,0.455
7.11,48.6,0.474
7.11,49.2,0.474
7.25,49.8,0.484
7.39,50.5,0.493
7.53,51.1,0.502
7.81,52.3,0.521
7.81,53,0.521
7.96,53.6,0.531
8.1,54.2,0.54
8.24,54.9,0.549
8.38,55.5,0.559
8.66,56.7,0.578
8.66,57.4,0.578
8.8,58,0.587
8.94,58.6,0.596
9.08,59.2,0.606
9.22,59.9,0.615
9.36,60.5,0.624
9.65,61.8,0.643
9.65,62.4,0.643
9.79,63,0.652
9.93,63.6,0.662
10.07,64.3,0.671
10.21,64.9,0.681
10.35,65.5,0.69
10.63,66.8,0.709
10.63,67.4,0.709
10.77,68,0.718
10.92,68.7,0.728
11.06,69.3,0.737
11.2,69.9,0.746
11.34,70.5,0.756
11.48,71.2,0.765
11.62,71.8,0.775
11.76,72.4,0.784
11.9,73,0.794
12.04,73.7,0.803
12.18,74.3,0.812
12.32,74.9,0.822
12.47,75.5,0.831
12.61,74.3,0.84
12.47,73.7,0.831
12.47,69.9,0.831
12.32,69.3,0.822
12.32,67.4,0.822
12.18,66.8,0.812
12.18,64.3,0.812
12.04,63.6,0.803
12.04,62.4,0.803
11.9,61.8,0.794
11.9,59.9,0.794
11.76,59.2,0.784
11.76,58,0.784
11.62,57.4,0.775
11.62,56.7,0.775
11.48,56.1,0.765
11.48,54.9,0.765
11.2,53.6,0.746
11.2,52.3,0.746
10.92,51.1,0.728
10.92,49.8,0.728
10.63,48.6,0.709
10.63,47.3,0.709
10.49,46.7,0.7
10.35,46.1,0.69
10.35,45.4,0.69
10.07,44.2,0.671
10.07,42.9,0.671
9.93,42.3,0.662
9.79,41.7,0.652
9.51,40.4,0.634
9.51,39.8,0.634
9.22,38.5,0.615
9.22,37.9,0.615
9.08,37.3,0.606
8.94,36.7,0.596
8.66,35.4,0.578
8.66,34.8,0.578
8.52,34.2,0.568
8.24,32.9,0.549
8.24,32.3,0.549
8.1,31.7,0.54
7.96,31,0.531
7.67,29.8,0.512
7.67,29.2,0.512
7.53,28.5,0.502
7.25,27.3,0.484
7.25,26.6,0.484
7.11,26,0.474
6.97,25.4,0.465
6.83,24.8,0.455
6.55,23.5,0.437
6.55,22.9,0.437
6.41,22.3,0.427
6.27,21.6,0.418
5.99,20.4,0.399
5.99,19.7,0.399
5.84,19.1,0.39
5.7,18.5,0.38
5.56,17.9,0.371
5.42,17.2,0.361
5.28,16.6,0.352
5.14,16,0.343
4.86,14.7,0.324
4.86,14.1,0.324
4.72,13.5,0.315
4.58,12.8,0.305
4.44,12.2,0.296
4.3,11.6,0.286
4.16,11,0.277
4.02,10.3,0.268
3.87,9.7,0.258
3.73,9.1,0.249
3.59,8.5,0.239
3.45,7.8,0.23
3.31,7.2,0.221
3.17,6.6,0.211
3.03,6,0.202
2.89,5.3,0.192
2.61,4.1,0.174
2.61,3.4,0.174
2.47,2.8,0.164
2.18,1.6,0.146
2.18,0.9,0.146
2.04,0.3,0.136
1.76,-0.9,0.117
1.76,-1.6,0.117
1.62,-2.2,0.108
1.48,-2.8,0.099
1.34,-3.4,0.089
1.34,-4.1,0.089
1.06,-5.3,0.07
1.06,-6,0.07
0.77,-7.2,0.052
0.77,-7.8,0.052
0.63,-8.5,0.042
0.35,-9.7,0.023
0.35,-11,0.023
0.21,-11.6,0.014
0.07,-12.2,0.005
-0.21,-13.5,-0.014
-0.21,-14.7,-0.014
-0.35,-15.4,-0.024
-0.64,-16.6,-0.042
-0.64,-17.2,-0.042
-0.78,-17.9,-0.052
-1.06,-19.1,-0.07
-1.06,-19.8,-0.07
-1.2,-20.4,-0.08
-1.48,-21.6,-0.099
-1.48,-22.3,-0.099
-1.62,-22.9,-0.108
-1.76,-23.5,-0.117
-2.04,-24.8,-0.136
-2.04,-25.4,-0.136
-2.19,-26,-0.146
-2.33,-26.7,-0.155
-2.61,-27.9,-0.174
-2.61,-28.5,-0.174
-2.75,-29.2,-0.183
-2.89,-29.8,-0.192
-3.03,-30.4,-0.202
-3.31,-31.7,-0.221
-3.31,-32.3,-0.221
-3.45,-32.9,-0.23
-3.59,-33.5,-0.239
-3.88,-34.8,-0.258
-3.88,-35.4,-0.258
-4.02,-36,-0.268
-4.16,-36.7,-0.277
-4.3,-37.3,-0.286
-4.44,-37.9,-0.296
-4.58,-38.6,-0.305
-4.72,-38.6,-0.315
-4.86,-39.2,-0.324
-5,-39.8,-0.333
-5.14,-40.4,-0.343
-5.28,-41.1,-0.352
-5.42,-41.7,-0.361
-5.56,-42.3,-0.371
-5.7,-42.3,-0.38
-5.85,-42.9,-0.39
-5.99,-43.6,-0.399
-6.13,-44.2,-0.409
-6.27,-44.2,-0.418
-6.41,-44.8,-0.427
-6.55,-44.8,-0.437
-6.69,-45.5,-0.446
-6.83,-46.1,-0.455
-6.97,-46.7,-0.465
-7.11,-46.7,-0.474
-7.25,-47.3,-0.484
-7.39,-48,-0.493
-7.53,-48.6,-0.502
-7.68,-48.6,-0.512
-7.82,-49.2,-0.521
-7.96,-49.8,-0.531
-8.1,-50.5,-0.54
-8.24,-51.1,-0.549
-8.38,-51.7,-0.559
-8.52,-52.4,-0.568
-8.66,-53,-0.578
-8.8,-53.6,-0.587
-8.94,-54.2,-0.596
-9.08,-54.9,-0.606
-9.23,-55.5,-0.615
-9.37,-56.1,-0.624
-9.51,-56.7,-0.634
-9.65,-57.4,-0.643
-9.79,-58,-0.653
-9.93,-58.6,-0.662
-10.07,-59.3,-0.671
-10.21,-59.9,-0.681
-10.35,-60.5,-0.69
-10.49,-61.1,-0.7
-10.64,-61.8,-0.709
-10.78,-62.4,-0.718
-10.92,-63,-0.728
-11.06,-63.6,-0.737
-11.2,-64.3,-0.747
-11.34,-64.3,-0.756
-11.48,-64.9,-0.765
-11.62,-65.5,-0.775
-11.76,-66.1,-0.784
-11.9,-66.8,-0.794
-12.04,-67.4,-0.803
-12.33,-68.7,-0.822
-12.33,-69.3,-0.822
-12.47,-68.7,-0.831
-12.47,-66.1,-0.831
-12.33,-64.9,-0.822
-12.33,-61.8,-0.822
-12.19,-61.1,-0.812
-12.19,-60.5,-0.812
-12.04,-59.9,-0.803
-12.04,-59.3,-0.803
-11.9,-58.6,-0.794
-11.9,-57.4,-0.794
-11.76,-56.7,-0.784
-11.62,-56.1,-0.775
-11.34,-54.9,-0.756
-11.34,-54.2,-0.756
-11.06,-53,-0.737
-11.06,-52.4,-0.737
-10.92,-51.7,-0.728
-10.78,-51.1,-0.718
-10.49,-49.8,-0.7
-10.49,-49.2,-0.7
-10.35,-48.6,-0.69
-10.07,-47.3,-0.671
-10.07,-46.7,-0.671
-9.93,-46.1,-0.662
-9.65,-44.8,-0.643
-9.65,-44.2,-0.643
-9.51,-43.6,-0.634
-9.37,-42.9,-0.624
-9.08,-41.7,-0.606
-9.08,-41.1,-0.606
-8.94,-40.4,-0.596
-8.8,-39.8,-0.587
-8.66,-39.2,-0.578
-8.38,-37.9,-0.559
-8.38,-37.3,-0.559
-8.24,-36.7,-0.549
-8.1,-36,-0.54
-7.96,-35.4,-0.531
-7.68,-34.2,-0.512
-7.68,-33.5,-0.512
-7.53,-32.9,-0.502
-7.39,-32.3,-0.493
-7.25,-31.7,-0.484
-7.11,-31,-0.474
-6.97,-30.4,-0.465
-6.83,-29.8,-0.455
-6.69,-29.2,-0.446
-6.55,-28.5,-0.437
-6.41,-27.9,-0.427
-6.27,-27.3,-0.418
-6.13,-26.7,-0.409
-5.99,-26,-0.399
-5.85,-25.4,-0.39
-5.56,-24.1,-0.371
-5.56,-23.5,-0.371
-5.42,-22.9,-0.361
-5.28,-22.3,-0.352
-5.14,-21.6,-0.343
-4.86,-20.4,-0.324
-4.86,-19.8,-0.324
-4.72,-19.1,-0.315
-4.44,-17.9,-0.296
-4.44,-17.2,-0.296
-4.3,-16.6,-0.286
-4.02,-15.4,-0.268
-4.02,-14.7,-0.268
-3.73,-13.5,-0.249
-3.73,-12.9,-0.249
-3.45,-11.6,-0.23
-3.45,-11,-0.23
-3.31,-10.3,-0.221
-3.03,-9.1,-0.202
-3.03,-8.5,-0.202
-2.75,-7.2,-0.183
-2.75,-6.6,-0.183
-2.47,-5.3,-0.164
-2.47,-4.7,-0.164
-2.19,-3.4,-0.146
-2.19,-2.2,-0.146
-2.04,-1.6,-0.136
-1.76,-0.3,-0.117
-1.9,-0.3,-0.127
NaN,NaN,NaN
-1.76,0.3,-0.117
-1.48,1.6,-0.099
-1.48,2.8,-0.099
-1.34,3.4,-0.089
-1.06,4.7,-0.07
-1.06,5.3,-0.07
-0.78,6.6,-0.052
-0.78,7.2,-0.052
-0.49,8.5,-0.033
-0.49,9.1,-0.033
-0.21,10.3,-0.014
-0.21,11,-0.014
0.07,12.2,0.005
0.07,12.8,0.005
0.21,13.5,0.014
0.49,14.7,0.033
0.49,15.4,0.033
0.77,16.6,0.052
0.77,17.2,0.052
0.92,17.9,0.061
1.06,18.5,0.07
1.2,19.1,0.08
1.34,19.7,0.089
1.48,20.4,0.099
1.62,21,0.108
1.76,21.6,0.117
1.9,22.3,0.127
2.04,22.9,0.136
2.18,23.5,0.146
2.32,24.1,0.155
2.47,24.8,0.164
2.61,25.4,0.174
2.89,26.6,0.192
2.89,27.3,0.192
3.03,27.9,0.202
3.17,28.5,0.211
3.31,29.2,0.221
3.45,29.8,0.23
3.59,30.4,0.239
3.73,31,0.249
3.87,31.7,0.258
4.02,32.3,0.268
4.16,32.9,0.277
4.3,33.5,0.286
4.44,34.2,0.296
4.58,34.8,0.305
4.72,35.4,0.315
4.86,36,0.324
5,36.7,0.333
5.14,37.3,0.343
5.28,37.9,0.352
5.42,37.9,0.361
5.56,38.5,0.371
5.7,39.2,0.38
5.84,39.8,0.39
5.99,40.4,0.399
6.13,41.1,0.409
6.27,41.7,0.418
6.41,42.3,0.427
6.55,42.9,0.437
6.69,43.6,0.446
6.83,44.2,0.455
6.97,44.8,0.465
7.11,45.4,0.474
7.25,46.1,0.484
7.39,46.7,0.493
7.67,48,0.512
7.67,48.6,0.512
7.81,49.2,0.521
7.96,49.8,0.531
8.1,50.5,0.54
8.24,51.1,0.549
8.38,51.7,0.559
8.66,53,0.578
8.66,53.6,0.578
8.8,54.2,0.587
8.94,54.9,0.596
9.08,55.5,0.606
9.22,56.1,0.615
9.36,56.7,0.624
9.51,57.4,0.634
9.65,58,0.643
9.79,58.6,0.652
10.07,59.9,0.671
10.07,60.5,0.671
10.21,61.1,0.681
10.35,61.8,0.69
10.49,62.4,0.7
10.63,63,0.709
10.92,64.3,0.728
10.92,64.9,0.728
11.06,65.5,0.737
11.2,66.1,0.746
11.48,67.4,0.765
11.48,68,0.765
11.62,68.7,0.775
11.76,69.3,0.784
12.04,70.5,0.803
12.04,71.2,0.803
12.18,71.8,0.812
12.32,72.4,0.822
12.47,73,0.831
12.47,68,0.831
12.32,67.4,0.822
12.32,64.9,0.822
12.18,64.3,0.812
12.18,62.4,0.812
12.04,61.8,0.803
12.04,59.9,0.803
11.9,59.2,0.794
11.9,58,0.794
11.76,57.4,0.784
11.76,56.1,0.784
11.62,55.5,0.775
11.62,54.2,0.775
11.34,53,0.756
11.34,51.7,0.756
11.06,50.5,0.737
11.06,49.2,0.737
10.77,48,0.718
10.77,46.7,0.718
10.63,46.1,0.709
10.49,45.4,0.7
10.49,48,0.7
10.49,44.8,0.7
10.21,43.6,0.681
10.21,42.3,0.681
10.07,41.7,0.671
9.79,40.4,0.652
9.79,39.8,0.652
9.65,39.2,0.643
9.36,37.9,0.624
9.36,37.3,0.624
9.22,36.7,0.615
8.94,35.4,0.596
8.94,34.8,0.596
8.8,34.2,0.587
8.66,33.5,0.578
8.52,32.9,0.568
8.38,32.3,0.559
8.1,31,0.54
8.1,30.4,0.54
7.96,29.8,0.531
7.81,29.2,0.521
7.53,27.9,0.502
7.53,27.3,0.502
7.39,26.6,0.493
7.25,26,0.484
7.11,25.4,0.474
6.97,24.8,0.465
6.69,23.5,0.446
6.69,22.9,0.446
6.55,22.3,0.437
6.41,21.6,0.427
6.27,21,0.418
6.13,20.4,0.409
5.99,19.7,0.399
5.7,18.5,0.38
5.7,17.9,0.38
5.56,17.2,0.371
5.42,16.6,0.361
5.28,16,0.352
5.14,15.4,0.343
5,14.7,0.333
4.86,14.1,0.324
4.58,12.8,0.305
4.58,12.2,0.305
4.44,11.6,0.296
4.3,11,0.286
4.16,10.3,0.277
4.02,9.7,0.268
3.87,9.1,0.258
3.73,9.1,0.249
3.59,8.5,0.239
3.31,7.2,0.221
3.31,6.6,0.221
3.17,6,0.211
3.03,5.3,0.202
2.89,4.7,0.192
2.75,4.1,0.183
2.47,2.8,0.164
2.47,2.2,0.164
2.32,1.6,0.155
2.04,0.3,0.136
2.04,-0.3,0.136
1.9,-0.9,0.127
1.62,-2.2,0.108
1.62,-2.8,0.108
1.48,-3.4,0.099
1.2,-4.7,0.08
1.2,-6,0.08
1.06,-6.6,0.07
0.77,-7.8,0.052
0.77,-8.5,0.052
0.63,-9.1,0.042
0.35,-10.3,0.023
0.35,-11,0.023
0.07,-12.2,0.005
0.07,-12.9,0.005
-0.07,-13.5,-0.005
-0.35,-14.7,-0.024
-0.35,-15.4,-0.024
-0.64,-16.6,-0.042
-0.64,-17.2,-0.042
-0.92,-18.5,-0.061
-0.92,-19.1,-0.061
-1.06,-19.8,-0.07
-1.2,-20.4,-0.08
-1.48,-21.6,-0.099
-1.48,-22.3,-0.099
-1.62,-22.9,-0.108
-1.76,-23.5,-0.117
-2.04,-24.8,-0.136
-2.04,-25.4,-0.136
-2.19,-26,-0.146
-2.33,-26.7,-0.155
-2.47,-27.3,-0.164
-2.75,-28.5,-0.183
-2.75,-29.2,-0.183
-2.89,-29.8,-0.192
-3.03,-30.4,-0.202
-3.17,-31,-0.211
-3.31,-31.7,-0.221
-3.45,-32.3,-0.23
-3.59,-32.9,-0.239
-3.88,-34.2,-0.258
-3.73,-34.2,-0.249
-3.88,-34.2,-0.258
-4.16,-35.4,-0.277
-4.16,-36,-0.277
-4.3,-36.7,-0.286
-4.44,-37.3,-0.296
-4.58,-37.9,-0.305
-4.72,-38.6,-0.315
-4.86,-39.2,-0.324
-5,-39.8,-0.333
-5.14,-40.4,-0.343
-5.28,-41.1,-0.352
-5.42,-41.1,-0.361
-5.56,-41.7,-0.371
-5.7,-42.3,-0.38
-5.85,-42.9,-0.39
-5.99,-43.6,-0.399
-6.13,-44.2,-0.409
-6.27,-44.2,-0.418
-6.41,-44.8,-0.427
-6.55,-45.5,-0.437
-6.69,-46.1,-0.446
-6.83,-46.7,-0.455
-6.97,-46.7,-0.465
-7.11,-47.3,-0.474
-7.25,-48,-0.484
-7.39,-48.6,-0.493
-7.53,-48.6,-0.502
-7.68,-49.2,-0.512
-7.82,-49.8,-0.521
-7.96,-50.5,-0.531
-8.1,-50.5,-0.54
-8.24,-51.1,-0.549
-8.38,-51.7,-0.559
-8.52,-51.7,-0.568
-8.66,-52.4,-0.578
-8.8,-53,-0.587
-8.94,-53.6,-0.596
-9.08,-53.6,-0.606
-9.23,-54.2,-0.615
-9.37,-54.9,-0.624
-9.51,-55.5,-0.634
-9.65,-56.1,-0.643
-9.79,-56.7,-0.653
-9.93,-57.4,-0.662
-10.07,-58,-0.671
-10.21,-58.6,-0.681
-10.35,-59.3,-0.69
-10.49,-59.9,-0.7
-10.64,-60.5,-0.709
-10.78,-61.1,-0.718
-10.92,-61.8,-0.728
-11.06,-62.4,-0.737
-11.2,-63,-0.747
-11.34,-63.6,-0.756
-11.48,-64.3,-0.765
-11.62,-64.9,-0.775
-11.76,-65.5,-0.784
-11.9,-66.1,-0.794
-12.04,-66.8,-0.803
-12.33,-68,-0.822
-12.33,-68.7,-0.822
-12.47,-68,-0.831
-12.47,-64.3,-0.831
-12.33,-63.6,-0.822
-12.33,-65.5,-0.822
-12.33,-60.5,-0.822
-12.19,-59.9,-0.812
-12.19,-58.6,-0.812
-12.04,-58,-0.803
-12.04,-57.4,-0.803
-11.76,-56.1,-0.784
-11.76,-55.5,-0.784
-11.48,-54.2,-0.765
-11.48,-53.6,-0.765
-11.34,-53,-0.756
-11.06,-51.7,-0.737
-11.06,-51.1,-0.737
-10.92,-50.5,-0.728
-10.64,-49.2,-0.709
-10.64,-48.6,-0.709
-10.49,-48,-0.7
-10.21,-46.7,-0.681
-10.21,-46.1,-0.681
-10.07,-45.5,-0.671
-9.93,-44.8,-0.662
-9.65,-43.6,-0.643
-9.65,-42.9,-0.643
-9.51,-42.3,-0.634
-9.37,-41.7,-0.624
-9.23,-41.1,-0.615
-9.08,-40.4,-0.606
-8.8,-39.2,-0.587
-8.8,-38.6,-0.587
-8.66,-37.9,-0.578
-8.52,-37.3,-0.568
-8.38,-36.7,-0.559
-8.1,-35.4,-0.54
-8.1,-34.8,-0.54
-7.96,-34.2,-0.531
-7.82,-33.5,-0.521
-7.68,-32.9,-0.512
-7.53,-32.3,-0.502
-7.39,-31.7,-0.493
-7.25,-31,-0.484
-7.11,-30.4,-0.474
-6.97,-29.8,-0.465
-6.83,-29.2,-0.455
-6.69,-28.5,-0.446
-6.55,-27.9,-0.437
-6.41,-27.3,-0.427
-6.27,-26.7,-0.418
-6.13,-26,-0.409
-5.99,-25.4,-0.399
-5.85,-24.8,-0.39
-5.56,-23.5,-0.371
-5.56,-22.9,-0.371
-5.42,-22.3,-0.361
-5.28,-21.6,-0.352
-5.14,-21,-0.343
-4.86,-19.8,-0.324
-4.86,-19.1,-0.324
-4.72,-18.5,-0.315
-4.44,-17.2,-0.296
-4.44,-16.6,-0.296
-4.3,-16,-0.286
-4.02,-14.7,-0.268
-4.02,-14.1,-0.268
-3.88,-13.5,-0.258
-3.59,-12.2,-0.239
-3.59,-11.6,-0.239
-3.45,-11,-0.23
-3.17,-9.7,-0.211
-3.17,-9.1,-0.211
-2.89,-7.8,-0.192
-2.89,-7.2,-0.192
-2.61,-6,-0.174
-2.61,-5.3,-0.174
-2.33,-4.1,-0.155
-2.33,-3.4,-0.155
-2.04,-2.2,-0.136
-2.04,-0.9,-0.136
-1.9,-0.3,-0.127
-1.76,-0.3,-0.117
NaN,NaN,NaN
-1.62,0.9,-0.108
-1.62,1.6,-0.108
-1.34,2.8,-0.089
-1.34,3.4,-0.089
-1.06,4.7,-0.07
-1.06,5.3,-0.07
-0.78,6.6,-0.052
-0.78,7.2,-0.052
-0.64,7.8,-0.042
-0.35,9.1,-0.024
-0.35,10.3,-0.024
-0.21,11,-0.014
-0.07,11.6,-0.005
0.07,12.2,0.005
0.07,12.8,0.005
0.35,14.1,0.023
0.35,14.7,0.023
0.49,15.4,0.033
0.63,16,0.042
0.92,17.2,0.061
0.92,17.9,0.061
1.06,18.5,0.07
1.2,19.1,0.08
1.34,19.7,0.089
1.48,20.4,0.099
1.62,21,0.108
1.76,21.6,0.117
1.9,22.3,0.127
2.04,22.9,0.136
2.18,23.5,0.146
2.32,24.1,0.155
2.47,24.8,0.164
2.75,26,0.183
2.75,26.6,0.183
2.89,27.3,0.192
3.03,27.9,0.202
3.17,28.5,0.211
3.31,29.2,0.221
3.45,29.8,0.23
3.59,30.4,0.239
3.73,31,0.249
3.87,31.7,0.258
4.02,32.3,0.268
4.16,32.9,0.277
4.44,34.2,0.296
4.44,34.8,0.296
4.58,35.4,0.305
4.72,36,0.315
4.86,36.7,0.324
5,37.3,0.333
5.14,37.9,0.343
5.28,37.9,0.352
5.42,38.5,0.361
5.56,39.2,0.371
5.7,39.8,0.38
5.84,40.4,0.39
5.99,41.1,0.399
6.13,41.7,0.409
6.27,42.3,0.418
6.41,42.9,0.427
6.55,42.9,0.437
6.69,43.6,0.446
6.83,44.2,0.455
6.97,44.8,0.465
7.11,45.4,0.474
7.25,46.1,0.484
7.39,46.7,0.493
7.53,47.3,0.502
7.67,48,0.512
7.81,48.6,0.521
7.96,49.2,0.531
8.1,49.8,0.54
8.24,50.5,0.549
8.38,51.1,0.559
8.52,51.7,0.568
8.8,53,0.587
8.66,53,0.578
8.8,53,0.587
9.08,54.2,0.606
9.08,54.9,0.606
9.22,55.5,0.615
9.36,56.1,0.624
9.51,56.7,0.634
9.65,57.4,0.643
9.93,58.6,0.662
9.93,59.2,0.662
10.07,59.9,0.671
10.21,60.5,0.681
10.49,61.8,0.7
10.35,61.8,0.69
10.49,61.8,0.7
10.77,63,0.718
10.77,63.6,0.718
11.06,64.9,0.737
11.06,65.5,0.737
11.2,66.1,0.746
11.48,67.4,0.765
11.48,68,0.765
11.62,68.7,0.775
11.9,69.9,0.794
11.9,70.5,0.794
12.18,71.8,0.812
12.18,72.4,0.812
12.32,73,0.822
12.47,73.7,0.831
12.75,74.9,0.85
12.75,75.5,0.85
12.89,76.2,0.859
13.03,76.8,0.869
13.17,77.4,0.878
13.31,77.4,0.887
13.45,78,0.897
13.59,78.7,0.906
13.73,78.7,0.916
13.87,79.3,0.925
14.02,79.3,0.934
14.16,79.9,0.944
14.3,80.6,0.953
14.44,80.6,0.962
14.58,81.2,0.972
14.72,81.8,0.981
14.86,81.8,0.991
15,81.2,1
15,78,1
14.86,76.8,0.991
14.86,74.3,0.991
14.72,73,0.981
14.72,71.2,0.981
14.58,70.5,0.972
14.58,69.3,0.972
14.44,68.7,0.962
14.44,66.8,0.962
14.3,66.1,0.953
14.3,64.9,0.953
14.16,64.3,0.944
14.16,63,0.944
14.02,62.4,0.934
14.02,61.8,0.934
13.87,61.1,0.925
13.87,59.9,0.925
13.59,58.6,0.906
13.59,57.4,0.906
13.45,56.7,0.897
13.45,55.5,0.897
13.17,54.2,0.878
13.17,53,0.878
13.03,52.3,0.869
13.03,51.7,0.869
12.89,51.1,0.859
12.89,50.5,0.859
12.75,49.8,0.85
12.75,49.2,0.85
12.47,48,0.831
12.47,47.3,0.831
12.18,46.1,0.812
12.18,44.8,0.812
12.04,44.2,0.803
11.76,42.9,0.784
11.76,42.3,0.784
11.48,41.1,0.765
11.48,40.4,0.765
11.34,39.8,0.756
11.06,38.5,0.737
11.06,37.9,0.737
10.92,37.3,0.728
10.77,36.7,0.718
10.63,36,0.709
10.49,35.4,0.7
10.35,34.8,0.69
10.21,34.2,0.681
9.93,32.9,0.662
9.93,32.3,0.662
9.79,31.7,0.652
9.65,31,0.643
9.51,31,0.634
9.36,30.4,0.624
9.22,29.8,0.615
9.08,29.2,0.606
8.94,28.5,0.596
8.8,27.9,0.587
8.52,26.6,0.568
8.52,26,0.568
8.38,25.4,0.559
8.24,24.8,0.549
